"No.","Time","Source","Destination","Protocol","Length","Info"
"160","0.294558","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=207637 Win=9347 Len=0"
"161","0.295944","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"162","0.295944","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"163","0.296032","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=210541 Win=9347 Len=0"
"164","0.297030","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"165","0.297097","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=211993 Win=9347 Len=0"
"166","0.297169","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"167","0.297812","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"168","0.297812","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"169","0.297907","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=216349 Win=9347 Len=0"
"170","0.297989","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"171","0.297989","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"172","0.298064","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=219253 Win=9347 Len=0"
"173","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"174","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"175","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"176","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"177","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"178","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"179","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"180","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"181","0.305333","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"182","0.305811","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=232321 Win=9347 Len=0"
"183","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"184","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"185","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"186","0.308363","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"187","0.308363","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=238129 Ack=1 Win=32 Len=1452"
"188","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"189","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"190","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"191","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"192","0.308363","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"193","0.308363","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=246841 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"194","0.308363","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=248293 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"195","0.308363","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=249745 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"196","0.308363","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=251197 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"197","0.308363","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=252649 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"198","0.308967","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=254101 Win=9347 Len=0"
"199","0.309101","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=254101 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"200","0.309185","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=255553 Win=9347 Len=0"
"201","0.309309","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=255553 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"202","0.309309","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=257005 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"203","0.309309","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=258457 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"204","0.309309","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=259909 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"205","0.309309","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=261361 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"206","0.309478","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=262813 Win=9347 Len=0"
"207","0.309679","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data [TCP segment of a reassembled PDU]"
"208","0.309679","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=264265 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"209","0.309679","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=265717 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"210","0.309783","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=267169 Win=9347 Len=0"
"211","0.476002","zte_81:5b:fa","Broadcast","ARP","42","Who has 192.168.1.5? Tell 192.168.1.1"
"212","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=267169 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"213","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=268621 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"214","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=270073 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"215","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=271525 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"216","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=272977 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"217","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=274429 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"218","0.560673","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data [TCP segment of a reassembled PDU]"
"219","0.560673","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"220","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=278785 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"221","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=280237 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"222","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=281689 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"223","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=283141 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"224","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=284593 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"225","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=286045 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"226","0.560673","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=287497 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"227","0.561359","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=288949 Win=9347 Len=0"
"228","0.561537","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=288949 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"229","0.561641","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=290401 Win=9347 Len=0"
"230","0.561795","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=290401 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"231","0.561795","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=291853 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"232","0.561795","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data [TCP segment of a reassembled PDU]"
"233","0.561795","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=294757 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"234","0.561795","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=296209 Ack=1 Win=32 Len=1452 [TCP segment of a reassembled PDU]"
"235","0.562027","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=297661 Win=9347 Len=0"
